"A","BILANCA ODHODKOV","",""
"0204","Davčna in carinska administracija","109234886 109545546 108201029 99,1 98,8",""
"02041601","Davčna administracija","105834886 106145546 104922368 99,1 98,9",""
"02041603","Izplačilo dela dohodnine za donacije po Zdoh-2","3400000 3400000 3278661 96,4 96,4",""
"1613","Carinska uprava RS","62992050 63092184 61833327 98,2 98,0",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","62779706 62792259 61601949 98,1 98,1",""
"0204","Davčna in carinska administracija","62779706 62792259 61601949 98,1 98,1",""
"02041602","Carinska administracija","62779706 62792259 61601949 98,1 98,1",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","212344 299925 231378 109,0 77,2",""
"0302","Mednarodno sodelovanje in udeležba","212344 299925 231378 109,0 77,2",""
"03021601","Sodelovanje z mednarodnimi institucijami","212344 299925 231378 109,0 77,2",""
"1615","Urad RS za preprečevanje pranja denarja","673252 673252 666737 99,0 99,0",""
"14","GOSPODARSTVO","673252 673252 666737 99,0 99,0",""
"1404","Urejanje in nadzor na področju bančništva in zavarovalništva","673252 673252 666737 99,0 99,0",""
"14041602","Urejanje in nadzor na področju preprečevanja pranja denarja","673252 673252 666737 99,0 99,0",""
"1617","Urad RS za nadzor prirejanja iger na srečo","1514086 1514086 1356365 89,6 89,6",""
"14","GOSPODARSTVO","1514086 1514086 1356365 89,6 89,6",""
"1405","Urejanje in nadzor iger na srečo","1514086 1514086 1356365 89,6 89,6",""
"14051601","Urejanje in nadzor iger na srečo","1514086 1514086 1356365 89,6 89,6",""
"1618","Uprava RS za javna plačila","6879322 6880407 6837286 99,4 99,4",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","6879322 6880407 6837286 99,4 99,4",""
"0202","Urejanje na področju fiskalne politike","6879322 6880407 6837286 99,4 99,4",""
"02021602","Fiskalni sistem","6879322 6880407 6837286 99,4 99,4",""
"1619","Urad RS za nadzor proračuna","2614734 2616834 2370343 90,7 90,6",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","2614734 2616834 2370343 90,7 90,6",""
"0203","Fiskalni nadzor","2614734 2616834 2370343 90,7 90,6",""
"02031601","Dejavnost proračunskega nadzora SPU/PU/PPP/GPR/PPR","2614734 2616834 2370343 90,7 90,6",""
"1711","Ministrstvo za notranje zadeve","31319301 28683531 25891520 82,7 90,3",""
"08","NOTRANJE ZADEVE IN VARNOST","31319301 28683531 25891520 82,7 90,3",""
"0801","Notranje zadeve","31319301 28683531 25891520 82,7 90,3",""
"08011701","Urejanje notranjih zadev","26874079 26866097 24682440 91,8 91,9",""
"08011703","Upravljanje z državnim premoženjem","4445222 1817434 1209080 27,2 66,5",""
"1714","Policija","329572825 336227163 329363149 99,9 98,0",""
"08","NOTRANJE ZADEVE IN VARNOST","329572825 336227163 329363149 99,9 98,0",""
"0801","Notranje zadeve","2647431 3528734 2162223 81,7 61,3",""
"08011703","Upravljanje z državnim premoženjem","2647431 3528734 2162223 81,7 61,3",""
"0802","Policijska in kriminalistična dejavnost","273186218 278286538 275917666 101,0 99,2",""
"08021701","Prometna varnost","6975913 6976415 6891973 98,8 98,8",""
"08021702","Notranja varnost","260226722 265223276 263599507 101,3 99,4",""
"08021703","Kriminalistična dejavnost","5983583 6086846 5426186 90,7 89,2",""
"0804","Vzpostavitev južne meje","53739175 54411892 51283260 95,4 94,3",""
"08041701","Vzpostavitev južne meje","53739175 54411892 51283260 95,4 94,3",""
"1715","Inšpektorat RS za notranje zadeve","730000 765000 757391 103,8 99,0",""
"08","NOTRANJE ZADEVE IN VARNOST","730000 765000 757391 103,8 99,0",""
"0801","Notranje zadeve","730000 765000 757391 103,8 99,0",""
"08011701","Urejanje notranjih zadev","730000 765000 757391 103,8 99,0",""
"1811","Ministrstvo za zunanje zadeve","75836096 79251378 74199373 97,8 93,6",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","75836096 79251378 74199373 97,8 93,6",""
"0301","Zunanje zadeve in konzularne storitve","65194029 68609311 63687154 97,7 92,8",""
"03011801","Izvajanje zunanje politike","20030449 19963868 19422650 97,0 97,3",""
"03011802","Delovanje diplomatsko konzularnih predstavništev","45163581 48645442 44264504 98,0 91,0",""
"0302","Mednarodno sodelovanje in udeležba","4488500 4488500 4477575 99,8 99,8",""
"03021801","Članarine mednarodnim organizacijam","4488500 4488500 4477575 99,8 99,8",""
"0303","Mednarodna pomoč","6153567 6153567 6034644 98,1 98,1",""
"03031801","Razvojna in humanitarna pomoč","6153567 6153567 6034644 98,1 98,1",""
"1911","Ministrstvo za obrambo","65161622 73007775 62946978 96,6 86,2",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","8353917 8353917 7758096 92,9 92,9",""
"0504","Tehnološki razvoj","8353917 8353917 7758096 92,9 92,9",""
"05041901","Tehnološki razvoj na obrambnem področju","8353917 8353917 7758096 92,9 92,9",""
