"","A Bilanca odhodkov","9652121502",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","321397592",""
"1302","Notranje zadeve in nacionalna varnost","321397592",""
"130201","Temeljne naloge policije","321397592",""
"13020101","Temeljna policijska dejavnost","297267699",""
"13020103","Temeljna kriminalistična dejavnost","14233893",""
"13020104","Operativna podpora temeljni policijski in kriminalistični dejavnosti","9896000",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","3256107",""
"1502","Dejavnosti drugih institucij na področju pravne države, svobode in varnosti","3256107",""
"150202","Vzpostavitev in krepitev inštitucij obravnave najhujših oblik finančne kriminalitete","3256107",""
"15020201","Izvajanje nalog za uspešno in učinkovito omejevanje najhujših oblik gospodarske, organizirane in korupcijske kriminalitete, učinkovitejše odkrivanje","3256107",""
"1715","Inšpektorat RS za notranje zadeve","730000",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","730000",""
"1302","Notranje zadeve in nacionalna varnost","730000",""
"130204","Urejanje notranjih zadev","730000",""
"13020402","Operativna podpora delovanja ministrstva za notranje zadeve","730000",""
"18","MINISTRSTVO ZA ZUNANJE ZADEVE","76287113",""
"1811","Ministrstvo za zunanje zadeve","76287113",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","76287113",""
"1303","Zunanja politika","76287113",""
"130301","Politična  diplomacija","23304740",""
"13030101","Izvajanje zunanje politike","23304740",""
"130302","Dejavnosti diplomatsko-konzularnih predstavništev in konzularna pomoč","42369385",""
"13030201","Diplomatsko konzularna mreža","42369385",""
"130303","Razvojno sodelovanje in humanitarna pomoč","10404766",""
"13030306","Bilateralno razvojno sodelovanje","10404766",""
"130304","Gospodarska diplomacija","208222",""
"13030401","Gospodarska diplomacija","208222",""
"19","MINISTRSTVO ZA OBRAMBO","462424141",""
"1911","Ministrstvo za obrambo","57308671",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","3521801",""
"0202","Znanstveno - raziskovalna dejavnost","600000",""
"020201","Raziskovalni programi in projekti","600000",""
"02020105","Znanstvene raziskave za potrebe programa Obramba in zaščita","600000",""
"0203","Tehnologija in informacijska družba","2921801",""
"020301","Podpora tehnološkim razvojnim projektom","2921801",""
"02030105","Potrebe programa obramba in zaščita","2921801",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","53786870",""
"1301","Obramba in zaščita","53786870",""
"130103","Upravljanje obrambnega sistema in krizno upravljanje","53786870",""
"13010302","Nadzor na področju Obrambe in zaščite","14166",""
"13010303","Zagotavljanje pogojev za delovanje programa Obrambe in zaščite","33292020",""
"13010305","Vodenje in upravljanje na področju Obrambe in zaščite","2391980",""
"13010306","Obrambna politika in obrambno planiranje","5734939",""
"13010307","Krizno upravljanje","3784464",""
"13010308","Civilne zmogljivosti za mednarodne operacije in misije","425798",""
"13010309","Zagotavljanje kadra za vojaško obrambo","2794667",""
"13010310","Obveščevalne, protiobveščevalne in varnostne naloge","5348835",""
"1912","Uprava RS za zaščito in reševanje","37553425",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","306569",""
"0901","Trajnostno upravljanje z naravnimi viri","306569",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","306569",""
